Cruise Embark Date,Age Banding,Cruise Ship Name,SubTrade,Lifestage,Lead Time (Days),Mosaic Group,Mosaic Type,Net Weekly HH Income,Total Children,Faretype,Cabin Meta,Cruise Experience,Cruises Completed with HAL,Region,Contactability,Duration
28/10/2018,45 - 54 Years,Amsterdam,Alaska RT Seattle,Family,12,Aspiring Homemakers,New Foundations,,0,Saver,Balcony,Past Guest,1,Canada,Mailable and Emailable,12
12/4/2018,75 - 84 Years,Amsterdam,Alaska RT YVR,Elderly Couples,154,Vintage Value,Aided Elderly,,0,Select Fare,Deluxe Balcony,Past Guest,6,US Central,Mailable and Emailable,14
26/11/2018,55 - 64 Years,Koningsdam,Atlantic Islands,Empty Nesters,222,Country Living,Village Retirement,,0,Saver,Balcony,Past Guest,13,Canada,Mailable Only,13
3/2/2018,65 - 74 Years,Nieuw Statendam,Caribbean Southern,Retired Couples,624,Prestige Positions,Bank of Mum and Dad,,0,Select Fare,Balcony,Past Guest,7,US West Coast Coast,Emailable Only,14
26/03/2018,55 - 64 Years,Amsterdam,Alaska RT YVR,Empty Nesters,62,Prestige Positions,Alpha Families,,0,Select Fare,Inside,Newcomer,0,Canada,Emailable Only,10
29/04/2018,65 - 74 Years,Nieuw Statendam,Western Mediterranean,Retired Couples,319,Country Living,Wealthy Landowners,,0,Select Fare,Deluxe Balcony,Past Guest,1,Canada,Mailable Only,12
15/12/2017,55 - 64 Years,Eurodam,Caribbean Southern,Empty Nesters,296,Country Living,Rural Vogue,,0,Select Fare,Mini Suite,Past Guest,3,US Central,Emailable Only,14
30/12/2017,55 - 64 Years,Eurodam,Caribbean Southern,Empty Nesters,508,Prestige Positions,Empty-Nest Adventure,,0,Select Fare,Mini Suite,Past Guest,2,US Central,Emailable Only,14
3/1/2018,55 - 64 Years,Amsterdam,Panama Canal,Empty Nesters,267,Rural Reality,Satellite Settlers,,0,Early Saver,Balcony,Newcomer,0,US West Coast,Emailable Only,35
6/1/2018,55 - 64 Years,Nieuw Statendam,Caribbean Southern,Empty Nesters,329,Family Basics,Budget Generations,,0,Select Fare,Balcony,Past Guest,3,Canada,Emailable Only,7
30/11/2018,65 - 74 Years,Eurodam,Caribbean Eastern,Retired Couples,54,Prestige Positions,Bank of Mum and Dad,,0,Early Saver,Balcony,Past Guest,4,Canada,Mailable Only,14
9/4/2018,75 - 84 Years,Koningsdam,Alaska RT Seattle,Elderly Couples,307,Vintage Value,Pocket Pensions,,0,Select Fare,Inside,Past Guest,1,Canada,Mailable Only,12
20/04/2018,75 - 84 Years,Prinsendam,Western Mediterranean,Elderly Couples,83,Aspiring Homemakers,Contemporary Starts,,0,Select Fare,Deluxe Balcony,Past Guest,1,US West Coast,Mailable and Emailable,18
14/07/2018,25 - 34 Years,Eurodam,Norway Fjord,Family,254,Prestige Positions,Alpha Families,,1,Select Fare,Mini Suite,Past Guest,8,Australia,Mailable and Emailable,7
30/03/2018,45 - 54 Years,Nieuw Statendam,Alaska RT Seattle,Empty Nesters,150,Domestic Success,Modern Parents,,0,Saver,Inside,Past Guest,31,US West Coast,Mailable and Emailable,7
